label,source,word_count,is_duplicate,has_suspicious_pattern,suspicious_matches,has_placeholder_metadata,placeholder_matches,looks_truncated,text,split,review_notes
0,train_essays,567,0,0,,0,,0,"The presidential Elections.

The elections are a brutal time candidates compete for the favor of the citizens they campaign, give great speeches about why they would be best for the position of leading the nation, often state why their adversary would be the worst person for the job. This causes opposition in the nation tearing it apart, however now not only are the people emotional about the election but also about the process, their are aguments about whether or not that the original process would remain. The system that the elections have been held since the Constitution has been written was that each citizen in a state would vote for one candidate or the other by voting for the electors of that specific person then the electors in turn would vote for the candidate and their votes would decide the presidency as stated in paragraph six and seven of the first source"" What Is the Electoral College?"" by the Office of the Federal Register. This system although it has worked so far it is not the best way of conducting the elections in this time and age citizens should modify and conform the process to fit the need we have now.

The problems claimed by the ones poised to the electoral college, as told in the second source "" The Idefensible Electoral College: Why even the bestlaid defenses of the system are wrong"" by Bradford Plumer, are that the process cause individuals to have little to no say in the person that will be their leader for years, they do not have control over who their candidates elect and must simply hope that they do indeed vote for who they promised to, also the election is decided by the few states that do not have a predetermined majority of voters in each state leaving the rest of the country feeling left out of the fiasco of the election and as if their perfered candidate dose not care of them or their support and opinions. This presents the system to be truly flawed in the way that it is currently operating.

Individuals,as source three ""In Defense of the electoral College: Five reasons to keep our despised method of choosing the President"" by Richard A. Posner, wish to claim that the system is not flawed in great lengths because it has worked for such a time that it is seen by them sufficient in its orcastration. It is said that the electors often do vote for who they pleaged they would and that decite is uncommon: however why should America risk the possibility of decite it has happened befor and if not prevented it will happen again. Do we not owe it to ourselves, posterity, and country to fix all potental harms to our nation the presidency should not be taken lightly it is a grand position that gives power and fame to all who hold those who have it could maintain the country, grace the nation with new prosperity, or condem Americans to years of suffering, toil, and misery. As citizens we should not alow anyone but the most valid character obtain this place. Mistakes are not alowed! we should take it upon ourselves now to modify this method be for it is to late and avertid.

There is no mitake America must act fast and modify this method for the nation, for their children, and for themselves.",train,
0,persuade_corpus,228,0,0,,0,,0,"Dear principal

I think you should let us kids bring our phones to school and use them during lunch and other free times because what else do we have to do we talk to our friends at lunch anyway plus it would be a lot quieter in the lunch room and if there turned off in class you would not have to worry about us using them anyway. Plus if we where to use them in class the teachers would take them from us and turn it in to you then our parents would have to come get it and we would be band from bringing it to school for the rest of the year that would work to i am positive that it would. Even if you do not make that a policy we will text during lunch and class anyway so either way where still texting it's a wining situation for us that is but not so much for you a very good time to let us text would be in the morning during tag because we don't do anything in tag anyway except for Tuesday Wednesday and Thursdays.

But still we have Monday and Friday to text in tag but we should get to text during lunch everyday because all we do is eat and talk anyways and that's my final decision to the policy.",train,
0,persuade_corpus,802,0,0,,0,,0,"The author of ""The Challenge of Exploring Venus"" supports the idea that studying Venus is a worthy dispute despite the dangers very efficiently and clearly. They clearly explain the argument in the second paragraph. They also properly list all the advantages to exploring Venus and then weighed it out with the challenges and risks that would stand in the way. They finally finish by stating their claim once more in their concluding paragraph.

To start their article, they begin in paragraph 2 by stating some facts about the planet and a bit of history to go into it, which helps us understand Earth's history with Venus itself. In Paragraph 2, it states, ""Because Venus is sometimes right around the corner - in space terms - humans have sent numerous spacecraft to land on this cloud-draped world. Each previous mission was unmanned, and for good reason, since no spacecraft survived the landing for more than a few hours... ...not a single spaceship has touched down on Venus in more than three decades. "" This explains that we have tried to land spacecrafts onto Venus to study the planet before, and have failed, therefore causing us to give up until now, which is where our argument comes into play.

The argument for this article is simply ""Should we try to study Venus again?"" and the author believes we should, after they weighed out some of the challenges that were in our way then and are in our way now. Paragraph 3 states ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging are the clouds of highly corrosive sulfric acid in Venus's atmosphere. On the planet's surface, temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater that what we experience on our own planet."" These facts are about the surface of the planet, and as the author also states in paragraph 3, ""these conditions are far more extreme than anything humans encounter on Earth; such an environment would crush even a submarine accustomed to diving to the deepest parts of our oceans and liquefy any metals.""

The author then asks at the beginning of paragraph 4, ""if our sister planet is so inhospitable, why are scientists even discussing further visits to its surface?"" Then proceeds to explain, ""Astronomers are fascinated by Venus because it may well once have been the most Earth-like planet in our solar system. Long ago, Venus was probably covered largely with oceans and could have supported various forms of life, just like Earth."" This explanation tells us that Venus could have been exactly like Earth, and may even still be in certain ways. Their explanation continues with, ""The planet has a surface of rocky sediment and includes familiar features such as valleys, mountains, and craters. Furthermore, recall that Venus can sometimes be our nearest option for planetary visit, a crucial consideration given the long time frames of space travel."" Using this information, we could theoretically use Venus as a second Earth, or maybe a pitstop on the way to other planets, or as a way to research for other lifeforms, which is worth the risks that come with it, and that's what the author is trying to say when asking, ""The Value of returning to Venus seems indisputable, but what are the options for making such a mission both safe and scientifically productive?""

The author explains that, ""The... ...Administration (NASA) has one particularly compelling idea for sending humans to study Venus. NASA's possible solution to the hostile conditions on the surface of Venus would allow scientists to float above the fray."" The author continues to go on and explain that NASA has a plan to make a vehicle that would hover over Venus and observe from above, where the conditions would be less severe. they continue, ""At thirty-plus miles above the surface, temperatures would still be toasty at around 170 degrees Fahrenheit, but air pressure would be close to that of sea level on Earth. Solar power would be plentiful, and radiation would not exceed Earth levels. Not easy conditions, but survivable for humans."" This means that their solution would be managable, but not perfect.

For their final paragraph, they restate their claim, saying ""Striving to meet the challenge presented by Venus has value not only because of the insight to be gained on the planet itself, but also because human curiosity will likely lead us into many equally intimidating endeavors."" This proves that they believe it will lead us further if we listen to our curiosity versus when we don't follow through due to risks. They also state ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation"" which backs up their claim.   ",train,
0,train_essays,1008,0,0,,0,,0,"Dear State Senator, Once a year, people all over the United States of America gather to vote for the most powerful men in the country our President and Vice President. We should have the people of America be able to vote for who they want their president to be because the Electoral College has some major flaws and simply because people have their rights. I believe that we should let the people be able to make their own choices.

The Electoral College has major flaws. Something bad is bound to happen if we keep letting them make the people's decisions. Source A in paragraph 12 states, ""In 1968, a shift of just 41,971 votes would have deadlocked the election In 1976 a tie would have occurred if a mere 5,559 voters in Ohio and 3,687 voters in Hawaii had voted the other way."" The election is literally only a few swing voters away from a catastrophe. It would be hard to believe that the people of the United States would want to be embarrassed because we can't even choose a presidential leader correctly. The other countries would take us as a joke we would simply look like fools. Another thing is, what would we do if there were a tie in the electoral vote. Source B also in paragraph 12 says, ""Perhaps the most worrying is the prospect of a tie in the electoral vote."" And with that being said, the election would be taken to the HOR House of Representatives, where state delegations vote on the president. And because each state casts only one vote, the single representative from Wyoming, representing only 500,000 voters, would have much to say as the 55 representatives from California, who represents 35 million. That is the same population as Wyoming only times 70. That is a tremendous difference in population. Don't let our country plummet into bad election. If anyone has a good argument for putting the fate of the presidency in the hands of a few swing voters in Ohio, they have yet to make it.

Ever since our founding fathers have settled here in America and made the Decloration of Independence in the late 1700s, the Amendments, and everything that gives us the right to be free, the people have had the right to vote. With the Electoral College, the people of America will not be able to freely use that right. Source C says, ""At the most basic level, the electoral college is unfair to voters. Because of the winnertakeall system in each state, candidates don't spend time in states they know they have a chance of winning, focusing only on the right races in the ""swing"" states."" Seventeen states didn't even see the candidates during the campaign in 2000. Those states including Rhode Island and South Carolina. Voters in the 25 of the largest media markets didn't get to see not one, not two, but zero campaign ads. Just as Source D states, ""The single best argument against the electoral college is what we might call the disaster factor. The American people should consider themselves lucky that the 2000 fiasco was the biggest election crisis in a century the system allows for much worse."" The state legislatures are technically responsible for picking electors, and keep in mind that those electors possibly could defy the will of the people. What if a state sends two state of electors to Congress? It happened in 1960 with Hawaii and luckily VP Richard Nixon validated only his opponent's electors, but made sure to do so ""without establishing a precedent."" What if it happened again? Remember when Al Gore won the popular vote but lost the presidency to George W. Bush? Thank that to the electoral college. In the 2000 U.S. presidential race, Al Gore recieved more individual votes that George W. Bush nationwide, but Bush won the election recieving 271 electoral votes to Gore's 266. This year voters can expect another close election in which the popular vote winner could again lose the presidency. And yet, the electoral college still has its defenders. But why?

First of all, Source E states, ""So, other things being equal, a large state gets more attention from presidential candidates in a campaign than a small one does."" But the problem with this is is that it's simply unfair. The smaller states should get just as much attention as the bigger states do. This is like saying that on the baseball field, the bigger and stronger kids should be the ones picked first and be able to play but the smaller kids don't get to play. It is not fair to the people in the smaller states like Wyoming, to be considered not as good as the state of California. Also in paragraph 20 of Source F says, ""They are the most thoughtful voters, on average and for the further reason that they will have recieved the most information and attention from the candidates, and the most thoughtful voters should be the ones to decide the election."" Once again, this statement is unfair. This is favoritism. This is saying that the better and bigger states should get all the attention just because they are more ""thoughtful"". Once again, people deserve to have their rights so I say, let them vote.

People want to make their own decisions. It's who we are as a person we want to be able to have responsibilities we want to feel important. With the electoral college we won't be able to get that feeling because we feel we aren't important enough to vote. So it's official. The electoral college is unfair, outdated, and irrational. The best arguments in favor of it are mostly assertions without much basis in reality. And the arguments against direct elections are spurious at best. Over 60 percent of voters would prefer a direct election to the kind that we have now and there's a pretty good reason. It's fair. There's only one thing I have to say to you. State Senator, please abolish the electoral college.",train,
0,persuade_corpus,703,0,0,,0,,0,"Do you own a car? Have you ever driven one? Many people would answer yes to these questions, and would agree that cars , in fact, are very useful. But have you ever thought of the adavantages that would occur if we limited car usage? While cars are very useful, they also have lots of negative side affects that come along with it. Cars accumulate lots of pollution in the enviroment and stress to humans. Also less cars, results in less traffic, which means you will be wasting less of you're life waiting to get somewhere and actually being there in the moment. Whether you realize it or not Americans are already starting to cut down on car uasge. In the article ""The End of Car Culture"" by Elisabeth Rosenthal, it even states ""recent studies suggest that Americans are buying fewer cars, driving less and getting fewer licenses as each year goes by.""

The world has been struggling with pollution for quite some time now and has been trying to come up with ways to cut it down. So why not start with where it derives from the most? Cars. Pollution by cars got so bad in Paris that they had to use license plate numbers to decide what cars could drive on certain days! But what did happen was ""Congestion was down 60 percent in the capital of France, after five-days of intensifying smog."" (Duffer). That is amazing! Just five days of less car usage and the smog went down 60 precent. Pollution would drop in great precentages if we just cut down car usage a bit. Pollution will always be harmful to the world, but steps should be taken to harm the world as little as possible.

Stress is something everyone experiences, but it is safe to say that everyone could do with less of it. Cars cause lots of stress to humans. A city in Germany does not allow cars and a women from the city says ""When I had a car I was always tense."" (Rosenthal). She is much more relaxed now and does not need to worry about all the stress that comes along with owning a car. Another person from Bogota, Columbia, where they have a car-free day, says ""Its a good opportunity to take away stress..."" (Selsky). People all around the world are reporting that their lives are a lot less stress free when they do not own cars. Stress is something that can be very damaging to a human when in large amounts and just cutting down on driving takes away lots of that stress.

Everyone has been stuck in traffic from time to time, and for some people in small cities, five minutes could be a long time to be stuck in traffic. But for some people in big cities like New York City and Los Angelos, people waste hours stuck in traffic! When you accumulate all those hours stuck in traffic, that is a lot of your time wasted in just waiting to get from desitination A, to destination B. Those hours could be spent on actually being there in the moment at the destination you want to be at. ""A study last year found that driving by young people decreased 23 percent between 2001 and 2009....."" (Rosenthal), many people now-a-days just want to get to the place that they are going to, as fast as possible; whether that be by car-pooling, taking the bus, or biking. Car usage is already decreasing, but that advantage should be taken that people want to live in the moment more and car usage should be even more cut down.

Car usage may never be completely taken away, but it defintley can be lowered. The advantages and benefits of just less car usage is astonishing. Less pollution to help the world, less stress to help the people, and letting people live life in the moment more are all advantages the derive from cutting down on the usage of cars. It may be diffcult to let go of something many people hold on to so dearest, but it is a change the will benefit us. While cars may have its pros, its cons outweigh it in the end.               ",train,
0,persuade_corpus,645,0,0,,0,,0,"Some schools offer distance learning as an option for students to attend classes from home by way of online or video conferencing. This could be beneficial to some students depending on the situation. This opportunity could allow for the learner to flourish rater than drown by being overwhelmed. This could also be beneficial for those who struggle with being still for eight hours at school to be able to take a break every so often. It would be a good opportunity to those who are: being bullied, having trouble with mental health, and struggling with a unsuitable learning environment.

Students often say that school is enjoyable because their friends are there. However, there are some students who struggle to find those friends, which could lead to the development of bullying. These bullies could be completely ruining a student's life and more often than not the teachers never do anything about it. This type of situation could be toxic and decrease in the development of the student. These students often begin to slowly distance themselves further from school progressively, which could lead to a down spiral in grades. Allowing for these struggling learners to work from home would allow them to be in a familiar environment with no one there to influence them as a person.

1 out of 10 students struggle with some sort of mental health issue whether it be anxiety or depression; everyone has something going on in their head. These students with this issue could have severe social anxiety. For example, if a student struggling with anxiety is in a school with 1,000 other kids it might cause the student to have an anxiety attack. This could cause them to slowly dislike the setting and they will begin to take days off from school because they want to avoid the chance of the attack entirely. The grades will plummet due to the absences, which is in the end not fair to these students struggling with the issue. The opportunity for these students to work in a peaceful environment will allow for them to flourish as a learner.

Students all have their own ways to retain information, some prefer visual, and others could prefer audible. This meaning that, everyone has some setting that works best for them. Some individuals could thrive in the school environment, while others could not. Given the opportunity, some students would take the chance to take the courses they regularly take at home. It could allow for these struggling students to take a break when needed and retain information better. This opportunity would be beneficial to the educational development of the student.

However, some students could abuse this opportunity as a way for them to stay home and do nothing. This could become unsuitable for those who need the extra push to do their work. These students could end up having too much free time on their hands and it could lead to the development of an unhealthy situation. This being said it understandable why the opportunity would not be given. But, the students who genuinely need this opportunity will not take advantage of it, they will use it to their benefit.

This opportunity that these struggling students would be offered would be extremely beneficial to their future. This option would be more beneficial than not as long as those who are given the option are monitored. This chance could allow them to reach their goals and accomplish achievements they never thought they could. The setting and the people in the school could be holding these learners back from achieving greatness. Not all people are in the same situation, not all struggle with the same things, people are victim to bullying, go though anxiety, and could not flourish in the environment their in. This chance would allow for the growth and development of the student mentally, physically, and emotionally.         ",train,
0,persuade_corpus,398,0,0,,0,,0,"Using this technology in a classroom would be valuable because if students weren't interested in what they're doing it could tell and could modify the work to make it more enjoyable. It could also help if the student is having troubles and could tell the teacher to help the student if the student is confused or needs help to get a better understanding of what is going on. It could also help if the student is having troubles outside of school because it can tell if you're sad or mad.

This technology is valuable in the classroom because if the student is loosing interest and getting bored it could notify the teacher and the teacher could make the lesson more interesting. Making the lesson more interesting could help the student in school and maybe make their day better. Making the lesson more interesting could help students get a better understanding of the lesson and help bring grades up.

The technology could also help if the student doesn't know whats going on and needs one on one help and maybe a tutor. Since this technology can read facial expressions it can read wether or not the student is confused because the student will have a confused look on their face. If this happens the teacher can ask the student if they need help and even if they say no the teacher will know thats a lie because the technology says otherwise.

Since the facial action coding system tells wether you're happy, sad, or mad it can help with problems outside of school. If the student is having troubles outside of school it will affect the behavior and what the student does inside of school. The technology can tell if this is happening and can let the teacher or someone else in the school and they can get help for that student. If that student gets help for those problems that can help with grades and behavior in school and can turn their life around for their well being.

Use of this technology can help improve students grades and test score because of it being able to tell emotions. If the student is confused it will know. If the student is losing interest it will know and the teacher will become aware and can change the lesson or work to make it more enjoyable and interesting for all the students.",train,
0,persuade_corpus,574,0,0,,0,,0,"Summer vacations is a blessing and a curse. It provides approximately three months of free time for students, while also providing three months worth of opportunities for students to forget all they had learned in the last school year. To combat this, there are summer activities designed to keep the academic engine running in preparation for the upcoming school year. A student-designed summer project is a motivating drive for students, is personalized by the students, and encourages responsibility and accountability.

Motivation is the driving force of all work. Tasks are more difficult to complete, or even start, without a reason for performing such a thing. A student-designed summer project, in name itself, can be quite the motivator amidst the lax summer vacation. It incentivises participation by having the student choose how they wish to execute their task. It also incentivises completion in a similar matter, with a mindset along the lines of ""it will be easier to finish this on my own terms"". The average student is very fickle with their preferences after all. Beyond their own self-drive, a spark of creativity is encouraged as well.

Nothing is more satisfying than your own work. Just simply having a finished product to call your own, a product crafted by you alone, is incredibly satisfying. A student-designed summer project is customized by the student and for the student. This allows personalization that acknowledges a student's strengths and weaknesses, such as time management or particular skills. It provides personal input that encourages students to speak for themselves while still abiding by the guidelines. However, a personal voice is not the only useful skill they can practice.

Later in the school life, and, eventually, even beyond, students must hold themselves accountable. For example, if their score on a test seemed incorrect, the students are responsible for double checking with their teacher. They can practice these habits with a personalized summer project. The students are responsible for their choices and actions. If they want to try something new, they can try it, as long as they are held accountable for it. If they make a mistake, it is okay, as long as they take responsibility for what they have done. However, their is still difficulty in trusting students.

Whether from elementary school, middle school, or high school, students are not always trustworthy. There are many who learn to work around restrictive school systems, or formulate lies to get past skipping classes or cheating. Just allowing a student to craft their own method of studying and practicing is just begging for trouble. It is possible that students can be lazy and procrastinate. They might even take the easy way out by putting in minimal effort. It is true that such freedom can be troublesome. However, that is only one side of the coin. There are students who are trustworthy, or more willing to work and improve. It is worth the shot to let these young minds practice helpful skills and maintain a studious mind.

A personalized summer project crafted by students provides motivation to work and encourages the practice of responsibility. To improve, one must understand their strengths and weaknesses. To perform, one must have a reason to do so. Even if students are as fickle as they are, they still deserve a chance to create their own method of studying and practice. A summer vacation is a chance to relax, but it should not be a time to forget.",train,
0,train_essays,372,0,0,,0,,0,"Electoral College is where we pick our state electors to choose our president. We as citizen get to help choose our state's electorss when we vote. It's a benefit to keep our Electoral College in the government system.

After all, Electoral College do have their negatives. In the source ""The Indefensible Electoral College: Why even the bestlaid defenses of the system are wrong"" by Bradford Plumer claims that ""voters vote not for the president, but for a slate of electorss."" We are not voting for our own president, but choosing an electorss for our own state to go on and help us vote for our United States of America's president,but with an Electoral College every state get two Senators and one House of Representatives. Which divide everything equally. Our votes are counted by our population of people. So, the Electoral College shouldn't be change.

Mainly, Electoral College help us vote for our president. In the source ""What is the Electoral College"" by the Office of the Federal Register assert that the winner of the president is ""election of the president by a popular vote of qualified citizens."" The more popular votes our states is given the higher chance that president is going to be elected. ""Majority of 270 electorsal votes is required to elect the president"" out of 538 votes for a president to win. With an Electoral College each president have to get at least 270 electors votes from all the 50 states for them to be president.

Lastly, Electoral College have no runoff elections. In the source ""In defense of the Electoral College: Five reasons to keep our despised method of choosing the President"" by Richard A. Posner mentioned that with no runoffs there wouldn't be any ""complicate the presidential election process."" There will never be a tie votes between an election. For example, between Nixon and Clinton both got 43 percent popular votes which is a tie and hard to pick, but with an electors vote their votes are 301:370 which is a big difference.

In summary, Electoral College is a useful system in the government that should be kept in place. It has been used over the years and it would be a pain to change everything now.",train,
0,persuade_corpus,331,0,0,,0,,0,"Using this new Facial Action Coding System in a classroom would be a valuable asset for understanding how students feel during a lesson. Students will often start to feel boredom or confusion and the facial recognition system will be able to pick up on those emotions. With this information given to teachers, they can change their lesson to make it more meaningful to those students who feel emotions like boredom or confusion. There are many possibilities with this technology when it comes to understanding how students truly feel through out the school day.

The Facial Action Coding System uses a serious of percents to show how a person is feeling. For example, the famous ""Mona Lisa"" painting displays eighty-three percent of happiness, nine percent of disgust, six percent of fear, and two percent of anger(D'Alto, Nick). If this technology is applied to students, then teachers can finally understand how each and every student feels during their class period. Teachers would also be able to recognize if someone may be overly sad or angry. This could enable students to receive help faster from a counselor or parent if they are depressed or anger over something. Understanding is a student is depressed with this new technology could save so many lives due to the fact that teen suicide rates are higher now than they ever have been.

With the new rise of facial recognition software, it can be used in the classroom to help teachers identify how students are really feeling in their classroom. The system could be used to determine if a lesson is confusing or boring a student, which helps the teacher know how they could change up their lesson plan. It may also be used to save lives by recognizing a student who is depressed so that they can get help as soon as possible. To finalize everything, this new technology would be extremely useful for both the teacher and the student in identifying true emotions throughout the school day.   ",train,
